fold,round_id,condition_a,condition_b,n_a,n_b,overlap,jaccard
0,3,fitness_direct,kg_base_rag,32,32,0,0
0,3,fitness_direct,kg_3features_rag,32,32,0,0
0,3,fitness_direct,kg_base_al,32,32,0,0
0,3,agent_only,kg_base,32,32,1,0.015873015873
0,3,agent_only,kg_3features_base,32,32,4,0.0666666666667
0,3,agent_only,kg_base_rag,32,32,3,0.0491803278689
0,3,agent_only,kg_3features_rag,32,32,3,0.0491803278689
0,3,agent_only,kg_base_al,32,32,1,0.015873015873
0,3,kg_base,kg_3features_base,32,32,2,0.0322580645161
0,3,kg_base,kg_base_rag,32,32,4,0.0666666666667
0,3,kg_base,kg_3features_rag,32,32,2,0.0322580645161
0,3,kg_base,kg_base_al,32,32,2,0.0322580645161
0,3,kg_3features_base,kg_base_rag,32,32,13,0.254901960784
0,3,kg_3features_base,kg_3features_rag,32,32,12,0.230769230769
0,3,kg_3features_base,kg_base_al,32,32,8,0.142857142857
0,3,kg_base_rag,kg_3features_rag,32,32,10,0.185185185185
0,3,kg_base_rag,kg_base_al,32,32,6,0.103448275862
0,3,kg_3features_rag,kg_base_al,32,32,5,0.0847457627119
1,1,random,fitness_direct,32,32,32,1
1,1,random,agent_only,32,32,0,0
1,1,random,kg_base,32,32,0,0
1,1,random,kg_3features_base,32,32,0,0
1,1,random,kg_base_rag,32,32,0,0
1,1,random,kg_3features_rag,32,32,0,0
1,1,random,kg_base_al,32,32,0,0
1,1,fitness_direct,agent_only,32,32,0,0
1,1,fitness_direct,kg_base,32,32,0,0
1,1,fitness_direct,kg_3features_base,32,32,0,0
1,1,fitness_direct,kg_base_rag,32,32,0,0
1,1,fitness_direct,kg_3features_rag,32,32,0,0
1,1,fitness_direct,kg_base_al,32,32,0,0
1,1,agent_only,kg_base,32,32,14,0.28
1,1,agent_only,kg_3features_base,32,32,8,0.142857142857
1,1,agent_only,kg_base_rag,32,32,5,0.0847457627119
1,1,agent_only,kg_3features_rag,32,32,6,0.103448275862
1,1,agent_only,kg_base_al,32,32,8,0.142857142857
1,1,kg_base,kg_3features_base,32,32,10,0.185185185185
1,1,kg_base,kg_base_rag,32,32,4,0.0666666666667
1,1,kg_base,kg_3features_rag,32,32,8,0.142857142857
1,1,kg_base,kg_base_al,32,32,12,0.230769230769
1,1,kg_3features_base,kg_base_rag,32,32,3,0.0491803278689
1,1,kg_3features_base,kg_3features_rag,32,32,11,0.207547169811
1,1,kg_3features_base,kg_base_al,32,32,10,0.185185185185
1,1,kg_base_rag,kg_3features_rag,32,32,4,0.0666666666667
1,1,kg_base_rag,kg_base_al,32,32,2,0.0322580645161
1,1,kg_3features_rag,kg_base_al,32,32,13,0.254901960784
1,2,random,fitness_direct,32,32,32,1
1,2,random,agent_only,32,32,0,0
1,2,random,kg_base,32,32,0,0
1,2,random,kg_3features_base,32,32,0,0
1,2,random,kg_base_rag,32,32,0,0
1,2,random,kg_3features_rag,32,32,0,0
1,2,random,kg_base_al,32,32,0,0
1,2,fitness_direct,agent_only,32,32,0,0
1,2,fitness_direct,kg_base,32,32,0,0
1,2,fitness_direct,kg_3features_base,32,32,0,0
1,2,fitness_direct,kg_base_rag,32,32,0,0
1,2,fitness_direct,kg_3features_rag,32,32,0,0
1,2,fitness_direct,kg_base_al,32,32,0,0
1,2,agent_only,kg_base,32,32,9,0.163636363636
1,2,agent_only,kg_3features_base,32,32,6,0.103448275862
1,2,agent_only,kg_base_rag,32,32,0,0
1,2,agent_only,kg_3features_rag,32,32,9,0.163636363636
1,2,agent_only,kg_base_al,32,32,5,0.0847457627119
1,2,kg_base,kg_3features_base,32,32,6,0.103448275862
1,2,kg_base,kg_base_rag,32,32,9,0.163636363636
1,2,kg_base,kg_3features_rag,32,32,16,0.333333333333
1,2,kg_base,kg_base_al,32,32,10,0.185185185185
1,2,kg_3features_base,kg_base_rag,32,32,2,0.0322580645161
1,2,kg_3features_base,kg_3features_rag,32,32,9,0.163636363636
1,2,kg_3features_base,kg_base_al,32,32,8,0.142857142857
1,2,kg_base_rag,kg_3features_rag,32,32,8,0.142857142857
1,2,kg_base_rag,kg_base_al,32,32,4,0.0666666666667
1,2,kg_3features_rag,kg_base_al,32,32,9,0.163636363636
1,3,random,fitness_direct,32,32,32,1
1,3,random,agent_only,32,32,0,0
1,3,random,kg_base,32,32,0,0
1,3,random,kg_3features_base,32,32,0,0
1,3,random,kg_base_rag,32,32,0,0
1,3,random,kg_3features_rag,32,32,0,0
1,3,random,kg_base_al,32,32,0,0
1,3,fitness_direct,agent_only,32,32,0,0
1,3,fitness_direct,kg_base,32,32,0,0
1,3,fitness_direct,kg_3features_base,32,32,0,0
1,3,fitness_direct,kg_base_rag,32,32,0,0
1,3,fitness_direct,kg_3features_rag,32,32,0,0
1,3,fitness_direct,kg_base_al,32,32,0,0
1,3,agent_only,kg_base,32,32,5,0.0847457627119
1,3,agent_only,kg_3features_base,32,32,1,0.015873015873
1,3,agent_only,kg_base_rag,32,32,4,0.0666666666667
1,3,agent_only,kg_3features_rag,32,32,1,0.015873015873
1,3,agent_only,kg_base_al,32,32,3,0.0491803278689
1,3,kg_base,kg_3features_base,32,32,3,0.0491803278689
1,3,kg_base,kg_base_rag,32,32,2,0.0322580645161
1,3,kg_base,kg_3features_rag,32,32,2,0.0322580645161
1,3,kg_base,kg_base_al,32,32,4,0.0666666666667
1,3,kg_3features_base,kg_base_rag,32,32,3,0.0491803278689
1,3,kg_3features_base,kg_3features_rag,32,32,3,0.0491803278689
1,3,kg_3features_base,kg_base_al,32,32,6,0.103448275862
1,3,kg_base_rag,kg_3features_rag,32,32,5,0.0847457627119
1,3,kg_base_rag,kg_base_al,32,32,7,0.122807017544
1,3,kg_3features_rag,kg_base_al,32,32,6,0.103448275862
2,1,random,fitness_direct,32,32,32,1
2,1,random,agent_only,32,32,0,0
2,1,random,kg_base,32,32,0,0
2,1,random,kg_3features_base,32,32,0,0
2,1,random,kg_base_rag,32,32,0,0
2,1,random,kg_3features_rag,32,32,0,0
2,1,random,kg_base_al,32,32,0,0
2,1,fitness_direct,agent_only,32,32,0,0
2,1,fitness_direct,kg_base,32,32,0,0
2,1,fitness_direct,kg_3features_base,32,32,0,0
2,1,fitness_direct,kg_base_rag,32,32,0,0
2,1,fitness_direct,kg_3features_rag,32,32,0,0
2,1,fitness_direct,kg_base_al,32,32,0,0
2,1,agent_only,kg_base,32,32,2,0.0322580645161
2,1,agent_only,kg_3features_base,32,32,3,0.0491803278689
2,1,agent_only,kg_base_rag,32,32,14,0.28
2,1,agent_only,kg_3features_rag,32,32,4,0.0666666666667
2,1,agent_only,kg_base_al,32,32,3,0.0491803278689
2,1,kg_base,kg_3features_base,32,32,2,0.0322580645161
2,1,kg_base,kg_base_rag,32,32,11,0.207547169811
2,1,kg_base,kg_3features_rag,32,32,12,0.230769230769
2,1,kg_base,kg_base_al,32,32,23,0.560975609756
2,1,kg_3features_base,kg_base_rag,32,32,5,0.0847457627119
2,1,kg_3features_base,kg_3features_rag,32,32,7,0.122807017544
2,1,kg_3features_base,kg_base_al,32,32,3,0.0491803278689
2,1,kg_base_rag,kg_3features_rag,32,32,10,0.185185185185
2,1,kg_base_rag,kg_base_al,32,32,15,0.30612244898
2,1,kg_3features_rag,kg_base_al,32,32,16,0.333333333333
2,2,random,fitness_direct,32,32,32,1
2,2,random,agent_only,32,32,0,0
2,2,random,kg_base,32,32,0,0
2,2,random,kg_3features_base,32,32,0,0
2,2,random,kg_base_rag,32,32,0,0
2,2,random,kg_3features_rag,32,32,0,0
2,2,random,kg_base_al,32,32,0,0
2,2,fitness_direct,agent_only,32,32,0,0
2,2,fitness_direct,kg_base,32,32,0,0
2,2,fitness_direct,kg_3features_base,32,32,0,0
2,2,fitness_direct,kg_base_rag,32,32,0,0
2,2,fitness_direct,kg_3features_rag,32,32,0,0
2,2,fitness_direct,kg_base_al,32,32,0,0
2,2,agent_only,kg_base,32,32,1,0.015873015873
2,2,agent_only,kg_3features_base,32,32,3,0.0491803278689
2,2,agent_only,kg_base_rag,32,32,2,0.0322580645161
2,2,agent_only,kg_3features_rag,32,32,6,0.103448275862
2,2,agent_only,kg_base_al,32,32,2,0.0322580645161
2,2,kg_base,kg_3features_base,32,32,0,0
2,2,kg_base,kg_base_rag,32,32,4,0.0666666666667
2,2,kg_base,kg_3features_rag,32,32,4,0.0666666666667
2,2,kg_base,kg_base_al,32,32,3,0.0491803278689
2,2,kg_3features_base,kg_base_rag,32,32,7,0.122807017544
2,2,kg_3features_base,kg_3features_rag,32,32,10,0.185185185185
2,2,kg_3features_base,kg_base_al,32,32,4,0.0666666666667
2,2,kg_base_rag,kg_3features_rag,32,32,18,0.391304347826
2,2,kg_base_rag,kg_base_al,32,32,11,0.207547169811
2,2,kg_3features_rag,kg_base_al,32,32,10,0.185185185185
2,3,random,fitness_direct,32,32,32,1
2,3,random,agent_only,32,32,0,0
2,3,random,kg_base,32,32,0,0
2,3,random,kg_3features_base,32,32,0,0
2,3,random,kg_base_rag,32,32,0,0
2,3,random,kg_3features_rag,32,32,0,0
2,3,random,kg_base_al,32,32,0,0
2,3,fitness_direct,agent_only,32,32,0,0
2,3,fitness_direct,kg_base,32,32,0,0
2,3,fitness_direct,kg_3features_base,32,32,0,0
2,3,fitness_direct,kg_base_rag,32,32,0,0
2,3,fitness_direct,kg_3features_rag,32,32,0,0
2,3,fitness_direct,kg_base_al,32,32,0,0
2,3,agent_only,kg_base,32,32,0,0
2,3,agent_only,kg_3features_base,32,32,0,0
2,3,agent_only,kg_base_rag,32,32,6,0.103448275862
2,3,agent_only,kg_3features_rag,32,32,5,0.0847457627119
2,3,agent_only,kg_base_al,32,32,2,0.0322580645161
2,3,kg_base,kg_3features_base,32,32,0,0
2,3,kg_base,kg_base_rag,32,32,1,0.015873015873
2,3,kg_base,kg_3features_rag,32,32,0,0
2,3,kg_base,kg_base_al,32,32,0,0
2,3,kg_3features_base,kg_base_rag,32,32,0,0
2,3,kg_3features_base,kg_3features_rag,32,32,0,0
2,3,kg_3features_base,kg_base_al,32,32,0,0
2,3,kg_base_rag,kg_3features_rag,32,32,3,0.0491803278689
2,3,kg_base_rag,kg_base_al,32,32,0,0
2,3,kg_3features_rag,kg_base_al,32,32,1,0.015873015873
