condition,fold,seed,assignment_sha256,run_id,eligible,exclusion_reason,experiment_status,pass_eligible,completed_rounds,aborted_rounds,planned_batch_sizes,actual_batch_sizes,run_path
kg_3features_rag,0,11,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,knowledge_agent-s11-f00-GB1-hierarchical-kg_3features_rag-f00-20260821T102504288673Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_3features_rag\runs\knowledge_agent-s11-f00-GB1-hierarchical-kg_3features_rag-f00-20260821T102504288673Z
kg_3features_rag,1,11,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,knowledge_agent-s11-f01-GB1-hierarchical-kg_3features_rag-f01-20260820T221316939044Z,False,superseded_failed_run,failed,False,1,1,"[16,16]","[16,0]",artifacts\hierarchical-scientist-kg_base_kg_base_rag_kg_base_al\runs\knowledge_agent-s11-f01-GB1-hierarchical-kg_3features_rag-f01-20260820T221316939044Z
kg_3features_rag,1,11,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,knowledge_agent-s11-f01-GB1-hierarchical-kg_3features_rag-f01-20260821T102504172502Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_3features_rag\runs\knowledge_agent-s11-f01-GB1-hierarchical-kg_3features_rag-f01-20260821T102504172502Z
kg_3features_rag,2,11,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,knowledge_agent-s11-f02-GB1-hierarchical-kg_3features_rag-f02-20260820T223254370362Z,False,superseded_failed_run,failed,False,0,1,[16],[0],artifacts\hierarchical-scientist-kg_base_kg_base_rag_kg_base_al\runs\knowledge_agent-s11-f02-GB1-hierarchical-kg_3features_rag-f02-20260820T223254370362Z
kg_3features_rag,2,11,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,knowledge_agent-s11-f02-GB1-hierarchical-kg_3features_rag-f02-20260821T102504274924Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_3features_rag\runs\knowledge_agent-s11-f02-GB1-hierarchical-kg_3features_rag-f02-20260821T102504274924Z
kg_base,0,11,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,knowledge_agent-s11-f00-GB1-hierarchical-kg_base-f00-20260820T215844671400Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_base_kg_base_rag_kg_base_al\runs\knowledge_agent-s11-f00-GB1-hierarchical-kg_base-f00-20260820T215844671400Z
kg_base,1,11,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_base_kg_base_rag_kg_base_al\runs\knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z
kg_base,2,11,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_base_kg_base_rag_kg_base_al\runs\knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z
kg_base_al,0,11,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_base_kg_base_rag_kg_base_al\runs\knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z
kg_base_al,1,11,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_base_kg_base_rag_kg_base_al\runs\knowledge_agent-s11-f01-GB1-hierarchical-kg_base_al-f01-20260820T221313830308Z
kg_base_al,2,11,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_base_kg_base_rag_kg_base_al\runs\knowledge_agent-s11-f02-GB1-hierarchical-kg_base_al-f02-20260820T222618938269Z
kg_base_rag,0,11,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_base_kg_base_rag_kg_base_al\runs\knowledge_agent-s11-f00-GB1-hierarchical-kg_base_rag-f00-20260820T215844674788Z
kg_base_rag,1,11,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,knowledge_agent-s11-f01-GB1-hierarchical-kg_base_rag-f01-20260820T221240262683Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_base_kg_base_rag_kg_base_al\runs\knowledge_agent-s11-f01-GB1-hierarchical-kg_base_rag-f01-20260820T221240262683Z
kg_base_rag,2,11,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,knowledge_agent-s11-f02-GB1-hierarchical-kg_base_rag-f02-20260820T222600583330Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\hierarchical-scientist-kg_base_kg_base_rag_kg_base_al\runs\knowledge_agent-s11-f02-GB1-hierarchical-kg_base_rag-f02-20260820T222600583330Z
random,0,42,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,random-s42-f00-al96-random-20260820T102642879211Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\random-fitness-direct-s42-al96-collected-20260820T102640Z\runs\random-s42-f00-al96-random-20260820T102642879211Z
random,1,42,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,random-s42-f01-al96-random-20260820T102642882520Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\random-fitness-direct-s42-al96-collected-20260820T102640Z\runs\random-s42-f01-al96-random-20260820T102642882520Z
random,2,42,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,random-s42-f02-al96-random-20260820T103525062996Z,True,,completed,True,3,0,"[16,16,16]","[16,16,16]",artifacts\random-fitness-direct-s42-al96-collected-20260820T102640Z\runs\random-s42-f02-al96-random-20260820T103525062996Z
