condition,round_id,query_budget,metric,mean,sd,n
kg_base_rag,2,32,batch_mean_fitness,2.24194102944,0.128751614492,3
kg_base_rag,2,32,batch_median_fitness,2.62693933161,0.3363748838,3
kg_base_rag,3,48,best_seen_fitness,5.07529943739,0,3
kg_base_rag,3,48,visible_mean_fitness,1.03721316526,0.139895289414,3
kg_base_rag,3,48,batch_best_fitness,3.89624582052,0.672303263453,3
kg_base_rag,3,48,batch_mean_fitness,1.35469678462,0.499369585602,3
kg_base_rag,3,48,batch_median_fitness,1.15102873379,0.777840544818,3
random,0,0,best_seen_fitness,4.07312564853,0,3
random,0,0,visible_mean_fitness,0.596386068846,0,3
random,1,16,best_seen_fitness,4.07312564853,0,3
random,1,16,visible_mean_fitness,0.5282639699,0.0157267854513,3
random,1,16,batch_best_fitness,1.64398258829,1.73248237498,3
random,1,16,batch_mean_fitness,0.119531376224,0.110087498159,3
random,1,16,batch_median_fitness,0.00333288477993,0.000959468128706,3
random,2,32,best_seen_fitness,4.07312564853,0,3
random,2,32,visible_mean_fitness,0.465237074096,0.0124479195311,3
random,2,32,batch_best_fitness,0.197083005517,0.0607029808704,3
random,2,32,batch_mean_fitness,0.0240488034658,0.0130353632938,3
random,2,32,batch_median_fitness,0.004009815986,0.00186687697582,3
random,3,48,best_seen_fitness,4.07312564853,0,3
random,3,48,visible_mean_fitness,0.4257870846,0.0119102736315,3
random,3,48,batch_best_fitness,1.09423030835,0.742106241165,3
random,3,48,batch_mean_fitness,0.110187168628,0.0573102822294,3
random,3,48,batch_median_fitness,0.00404247152827,0.000634262955701,3
